问题单号,业务模块,问题类型,发现环境,影响程度,问题标题,创建时间,状态
BUG-001,订单模块,功能缺陷,测试环境,P1,订单创建失败,2024-01-15,已关闭
BUG-002,支付模块,性能问题,现网环境,P0,支付超时严重,2024-01-16,处理中
BUG-003,用户模块,功能缺陷,测试环境,P2,用户登录异常,2024-01-17,已关闭
BUG-004,商品模块,兼容性问题,测试环境,P3,商品图片显示不全,2024-01-18,已关闭
BUG-005,订单模块,功能缺陷,灰度环境,P1,订单取消失败,2024-01-19,处理中
BUG-006,支付模块,性能问题,现网环境,P1,支付响应慢,2024-01-20,已关闭
BUG-007,库存模块,功能缺陷,测试环境,P2,库存扣减异常,2024-01-21,已关闭
BUG-008,物流模块,界面问题,测试环境,P3,物流信息展示错误,2024-01-22,已关闭
BUG-009,订单模块,性能问题,测试环境,P2,订单列表加载慢,2024-01-23,已关闭
BUG-010,用户模块,安全问题,现网环境,P0,用户密码明文传输,2024-01-24,已关闭
BUG-011,商品模块,功能缺陷,测试环境,P1,商品下架失败,2024-01-25,已关闭
BUG-012,支付模块,功能缺陷,灰度环境,P2,支付方式选择异常,2024-01-26,已关闭
BUG-013,售后模块,流程问题,测试环境,P2,售后流程无法流转,2024-01-27,处理中
BUG-014,营销模块,功能缺陷,测试环境,P3,优惠券发放失败,2024-01-28,已关闭
BUG-015,报表模块,数据问题,测试环境,P2,报表数据不准确,2024-01-29,已关闭
BUG-016,订单模块,兼容性问题,HCSO,P2,订单详情页错位,2024-01-30,已关闭
BUG-017,支付模块,性能问题,现网环境,P0,大促期间支付崩溃,2024-02-01,处理中
BUG-018,用户模块,功能缺陷,测试环境,P1,验证码发送失败,2024-02-02,已关闭
BUG-019,商品模块,功能缺陷,合营云,P1,商品价格显示错误,2024-02-03,处理中
BUG-020,物流模块,功能缺陷,测试环境,P2,物流跟踪异常,2024-02-04,已关闭
BUG-021,订单模块,功能缺陷,现网环境,P0,订单支付成功后未生成,2024-02-05,处理中
BUG-022,支付模块,兼容性问题,测试环境,P3,部分浏览器无法支付,2024-02-06,已关闭
BUG-023,库存模块,性能问题,测试环境,P2,库存查询超时,2024-02-07,已关闭
BUG-024,用户模块,界面问题,测试环境,P3,页面样式不统一,2024-02-08,已关闭
BUG-025,商品模块,功能缺陷,灰度环境,P1,商品库存扣减超时,2024-02-09,已关闭
BUG-026,售后模块,功能缺陷,测试环境,P2,退货退款流程异常,2024-02-10,已关闭
BUG-027,营销模块,性能问题,现网环境,P1,活动页面访问慢,2024-02-11,处理中
BUG-028,订单模块,数据问题,测试环境,P2,订单数据重复,2024-02-12,已关闭
BUG-029,支付模块,功能缺陷,测试环境,P1,退款申请无法提交,2024-02-13,已关闭
BUG-030,物流模块,功能缺陷,测试环境,P2,物流签收状态未更新,2024-02-14,已关闭
